valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.252,2021,0.212,Alan Walker,0.447,168118,0.553,0,6rAGFY9D3ah6Lb7fUgbNNH,0,0,0.165,-4.817,1,Fake A Smile,74,2021-02-19,0.0322,149.877
0.167,2020,0.397,Danny Olson,0.369,298064,0.452,0,7hQqneQFiXJQOvz6ppQs2y,0,6,0.0929,-8.166,0,Hide and Seek - Don Diablo Edit,54,2020-04-17,0.0464,123.997
0.127,2020,0.0483,Shallou,0.522,237133,0.6,0,0HNCtRy85eByDaQI2K92Xn,0,8,0.419,-6.871,1,Good Together,53,2020-03-27,0.0447,115.153
0.167,2021,0.0749,Said The Sky,0.511,247123,0.705,0,40KNxBXDuACwNkRjPIR34r,0,9,0.224,-5.126,1,We Know Who We Are,51,2021-05-21,0.0464,144.946
0.14,2020,0.039,Blake Rose,0.317,205462,0.545,0,6sHxpnCerm9M6A5zaFFNfs,0,11,0.116,-6.439,0,Gone,64,2020-02-07,0.0469,139.014
0.215,2021,0.0991,William Black,0.63,208421,0.706,0,21UciS9u65KNCmrNXAToxK,0,5,0.119,-5.989,1,Deep End,52,2021-02-19,0.0289,114.028
0.412,2019,0.523,Vincent,0.624,280125,0.706,0,13VPw7TPwIGXvQOY7CVeds,0.000979,10,0.119,-7.435,0,Can't Help Myself,0,2019-02-22,0.0353,109.982
0.329,2020,0.489,Jacob Lee,0.305,301804,0.485,0,2uYEcvKNeFmGdCHWT7i6OU,0,11,0.136,-9.752,0,Silhouette,37,2020-05-01,0.0603,79.574
0.475,2019,0.679,ILLENIUM,0.532,210423,0.571,1,4pioeMejnqa4T3QAEqwVA3,0,1,0.109,-6.291,1,Sad Songs (& Said The Sky with Annika Wells),56,2019-08-16,0.041,144.912
0.344,2020,0.0844,Rave New World,0.386,188800,0.66,0,3AvERZJm26CbR8ocBxFJUo,0,10,0.379,-5.763,1,Home,51,2020-04-09,0.0349,74.067
0.307,2021,0.0932,Armaan Malik,0.344,192353,0.873,0,5sbkFKdxVQ2FgEjKMvrHAL,0,10,0.153,-3.387,1,Echo (with KSHMR),68,2021-05-21,0.221,170.041
