valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.343,2019,0.607,Drax Project,0.397,218854,0.524,0,02VHspkXhhH1QCInRWWIfr,0,3,0.157,-5.846,1,Catching Feelings (feat. Six60),59,2019-09-04,0.103,175.562
0.376,2020,0.245,John Legend,0.572,210236,0.742,0,20d27F17AZOxTJOEHAVK2Y,0,8,0.108,-4.589,0,Conversations in the Dark - John Legend vs. David Guetta,70,2020-02-14,0.0347,127.19
0.371,2021,0.0886,R3HAB,0.76,186261,0.605,0,7hcYAIyiOVdmRhpGtSJRTP,2.09e-06,9,0.157,-8.119,1,Close To You (with Andy Grammer),68,2021-04-09,0.0984,114.996
0.11,2019,0.308,Khalid,0.627,182080,0.446,0,2kAIpGWnlFLQh48iut6Zzq,0.00077,2,0.111,-9.477,0,Free Spirit,73,2019-04-05,0.0332,139.994
0.623,2021,0.0833,Tom Grennan,0.689,226268,0.706,0,78q4ESvMkPVJzHAV11LAGE,0,1,0.105,-4.48,0,Little Bit of Love,72,2021-01-29,0.0312,106.52
0.766,2021,0.223,Maroon 5,0.766,172598,0.706,0,18XlJEroUwFo0tLZxscgXE,0.00028,7,0.064,-6.553,0,Lost,79,2021-06-11,0.16,142.989
0.618,2021,0.0142,Joel Corry,0.671,178088,0.782,0,0siYMEsGrzzzlWLXK5zJfS,0.00221,6,0.333,-4.593,1,BED,90,2021-02-26,0.0341,123.989
0.45,2021,0.0602,Nick Jonas,0.599,175028,0.605,0,5dNXuobhLxNha2sx4FWSWk,0,2,0.138,-7.133,1,Nervous,66,2021-03-12,0.241,163.969
0.745,2020,0.0264,Diplo,0.73,170158,0.792,0,6wXgnhpmOPEJ7cUweSyy2B,0,6,0.101,-5.33,0,Dance with Me (feat. Thomas Rhett & Young Thug),74,2020-05-27,0.13,99.039
0.39,2020,0.127,Kygo,0.715,198635,0.635,0,5Gj1wG8b12VQdEd3hUuSwo,0,7,0.0862,-6.591,1,Freedom,74,2020-04-17,0.0791,112.887
0.366,2021,0.0643,Tones And I,0.705,185304,0.776,0,0mA7zotmg2ZFMRALljdZsS,2.81e-06,4,0.0246,-6.096,1,Cloudy Day,73,2021-06-10,0.0445,116.011
0.716,2020,0.191,MisterWives,0.558,213547,0.889,0,2HvtedoEeymVWrBPyAMNwZ,0.000387,8,0.328,-3.945,1,SUPERBLOOM,73,2020-07-24,0.102,170.102
